user_id,name,email,password,push_token,deleted_dt,created_dt
1,user1,user1@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-01-11 09:38:00
2,user2,user2@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-02-22 13:26:00
3,user3,user3@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-02-11 02:08:00
4,user4,user4@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-02-20 04:04:00
5,user5,user5@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-01-01 08:34:00
6,user6,user6@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-02-01 02:31:00
7,user7,user7@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-01-26 14:19:00
8,user8,user8@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-01-02 23:33:00
9,user9,user9@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-02-14 23:22:00
10,user10,user10@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-02-03 04:51:00
11,user11,user11@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-01-14 02:54:00
12,user12,user12@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-01-11 12:41:00
13,user13,user13@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-01-15 09:34:00
14,user14,user14@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-01-17 14:20:00
15,user15,user15@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-02-14 17:47:00
16,user16,user16@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-01-10 03:39:00
17,user17,user17@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-02-14 20:14:00
18,user18,user18@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-02-01 02:48:00
19,user19,user19@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2025-12-27 14:10:00
20,user20,user20@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-01-11 17:00:00
21,user21,user21@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-02-10 12:38:00
22,user22,user22@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-02-05 10:06:00
23,user23,user23@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-02-11 10:55:00
24,user24,user24@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-01-05 01:14:00
25,user25,user25@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-01-31 02:52:00
26,user26,user26@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-02-21 04:48:00
27,user27,user27@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2025-12-28 16:39:00
28,user28,user28@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2025-12-31 01:16:00
29,user29,user29@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-02-11 13:38:00
30,user30,user30@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-01-24 22:30:00
31,user31,user31@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2025-12-30 14:04:00
32,user32,user32@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-01-27 07:08:00
33,user33,user33@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-02-09 07:15:00
34,user34,user34@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-02-09 16:51:00
35,user35,user35@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-01-22 03:02:00
36,user36,user36@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-01-08 16:03:00
37,user37,user37@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-01-28 16:05:00
38,user38,user38@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-01-30 23:39:00
39,user39,user39@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-02-11 07:17:00
40,user40,user40@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-01-23 19:10:00
41,user41,user41@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-02-20 10:24:00
42,user42,user42@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-01-01 08:16:00
43,user43,user43@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-02-15 14:35:00
44,user44,user44@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-02-14 12:47:00
45,user45,user45@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-01-28 15:39:00
46,user46,user46@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-02-20 22:52:00
47,user47,user47@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-01-31 15:40:00
48,user48,user48@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-01-26 17:57:00
49,user49,user49@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-02-08 17:07:00
50,user50,user50@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-01-01 11:37:00
51,user51,user51@example.com,$2a$10$XArr5HrCFpNaOUMTysE.Fu1x45e60msNCVehjFgI2iLmWo2iXAKzK,,\N,2026-01-13 08:06:00
